code,description,category
74400,Intra-Venous Urethrography (IVU),Specialty
51600,Micturating Cystourethrography (MCUG),Specialty
62284,Myelography,Specialty
74420,Retrograde Pyelography,Specialty
70380,Sialography,Specialty
76080,Sinography,Specialty
74251,Small Bowel Enema,Specialty
74430,Cystourethrography,Specialty
74485,Ureterogram,Specialty
74283,Barium Enema - Double Contrast,Specialty
78261,Barium Meal - Double Contrast,Specialty
74150,CT Scan Abdomen,Specialty
74176,CT Scan Abdomen Plus Pelvic,Specialty
72125,CT Scan Cervical Spine,Specialty
71250,CT Scan Chest/ Hrct,Specialty
77013,CT Scan Guided Ablation,Specialty
70450,CT Scan Head/ Brain,Specialty
72131,CT Scan Lumbo-Sacral Spine,Specialty
72192,CT Scan Pelvis,Specialty
70486,CT Scan Paranasal Sinuses (Pns),Specialty
76497,CT Scan Report,Specialty
70480,CT Scan Temporal Bone,Specialty
72128,CT Scan Thoratic Spine,Specialty
73700,CT Scan Knee,Specialty
72126,CT Scan Cervical Spine with Contrast,Specialty
71275,CT Scan of Blood Vessels in Chest with Contrast,Specialty
70496,CT Scan of Blood Vessel of Head with Contrast,Specialty
74174,CT Scan of Abdominal and Pelvic Blood Vessels with Contrast,Specialty
74175,CT Scan of Abdominal Blood Vessels with Contrast,Specialty
73706,CT Scan of Lower Leg Blood Vessels with Contrast,Specialty
73206,CT Scan of Arm Blood Vessels with Contrast,Specialty
70498,CT Scan of Neck Blood Vessels with Contrast,Specialty
75574,CT Scan of Heart Blood Vessels and Grafts with Contrast Dye,Specialty
75572,CT Scan of Heart Structure with Contrast (Coronary Angiography),Specialty
77012,CT Scan Guided Biopsy,Specialty
74181,MRI Abdomen/KUB,Specialty
74182,MRI Abdomen with Contrast,Specialty
73721,"MRI Lower Extremity Joints Left/Right - Hip, Knee, Ankle",Specialty
73224,"MRI Anthrogram Lower Extremity Joints Left/Right - Hip, Knee, Ankle",Specialty
73223,"MRI Lower Extremity Joints Left/Right with Contrast - Hip, Knee, Ankle",Specialty
72195,"MRI Pelvis (Male/Female)-Testis, Penis, Uterus, Bladder, Prostate, Fistula",Specialty
70551,MRI Brain,Specialty
77059,MRI Breast,Specialty
77058,MRI Breast Implant Evaluation,Specialty
72141,MRI Cervical Spine,Specialty
71550,MRI Chest,Specialty
73718,"MRI Lower Extremity Left / Right (Thigh, Leg, Foot)",Specialty
73719,"MRI Lower Extremity Left / Right (Thigh, Leg, Foot) with Contrast",Specialty
73218,"MRI Upper Extremity Left / Right (Arm, Fore Arm, Hand)",Specialty
73219,"MRI Upper Extremity Left / Right (Arm, Fore Arm, Hand) with Contrast",Specialty
75557,MRI Heart Morphology,Specialty
76390,Magnetic Resonance Cholangiopancreatography (MRCP),Specialty
70540,MRI Neck,Specialty
72196,MRI Pelvis with Contrast,Specialty
73222,"MRI Arm Joint with Contrast (Right/Left) - Shoulder, Elbow, Wrist",Specialty
73221,"MRI Arm Joint (Right/Left) - Shoulder, Elbow, Wrist",Specialty
74183,MRI Small Bowel (MRI Enteroclysis),Specialty
72146,MRI Thoracic Spine,Specialty
77021,MRI Guided Biopsy,Specialty
72156,MRI Brachial Plexus,Specialty
72159,MRA Spinal Canal Blood Vessel,Specialty
72198,MRA of Pelvic Blood Vessel,Specialty
70544,MRA Scan of Head Blood Vessels Before and after Contrast,Specialty
70545,MRA SCAN of Head Blood Vessels with Contrast,Specialty
70546,MRA Scan of Head Blood Vessels Before and after Contrast,Specialty
70547,MRA Scan of Neck Blood Vessels,Specialty
70548,MRA Scan of Neck Blood Vessels with Contrast,Specialty
73725,MRA / MRV Scan of Leg Blood Vessel,Specialty
73225,MRA / MRV Scan of Arm Blood Vessel,Specialty
74185,MRA / MRV Scan of Blood Vessels of Abdomen,Specialty
75565,MRA Coronary (Heart Vessels),Specialty
76940,Ultrasound Guided for Needle Insertion,Specialty
76942,Ultrasound Guided for Chorionic Villus Sampling,Specialty
76941,Ultrasound Guided FNAC,Specialty
76945,Ultrasound Guided for Amniocentensis,Specialty
76946,Ultrasound Guided IVF (In Vitro Fertilization),Specialty
76948,Ultrasound Guided Radiation Therapy,Specialty
76970,Ultrasound Guided for Endoscopy,Specialty
76975,Ultrasonic Guidance during Surgery,Specialty
76998,Ultrasound of Bone Density Measurement,Specialty
76977,Ultrasound Guided Pericardiocentesis,Specialty
76930,Ultrasonic Guidance for Biopsy of Heart Wall,Specialty
76932,Ultrasound Guidance for Repair of Blood Vessel,Specialty
50382,Percutaneous Imaging Ureterostomy (Removal and Replacement),Specialty
50384,Percutaneous Imaging Ureteric Stent Removal,Specialty
50385,Removal And Replacement of Indwelling Stent in Urinary Duct (Ureter) Including  Radiological Supervision and Interpretation,Specialty
50386,Imaging Guided Removal of Ureteric Stent,Specialty
50387,Imaging Guided Replacement of Ureteric Stenting,Specialty
50389,Imaging Guided Ureteronephrostomy Tube Removal,Specialty
50430,Injection Procedure for X-Ray Imaging of Kidney and Urinary Duct (Ureter) using  Imaging Guidance including Radiological Supervision and Interpretation,Specialty
50431,Injection Procedure for X-Ray Imaging of Kidney and Urinary Duct (Ureter) using  Imaging Guidance including Radiological Supervision and Interpretation,Specialty
50432,Percutaneous Imaging Guided Nephrostomy Catheter Placement,Specialty
50433,Percutaneous Imaging Guided Ureteronephrostomy Catheter Placement,Specialty
50434,Percutaneous Imaging Guided Conversion of Nephrostomy Catheter to  Nephroureteral Catheter,Specialty
50435,Percutaneous Replacement Nephrostomy Tube,Specialty
50606,Biopsy of Urinary Duct Using Imaging Guidance with Radiological Supervision and Interpretation,Specialty
50693,Percutaneous Ureteric Stenting,Specialty
50705,Occlusion of Urinary Duct (Ureter) using Imaging Guidance With Radiological Supervision And Interpretation,Specialty
50706,Ureteric Ablation,Specialty
59070,Abdominal Infusion of Normal Saline into Fetal Amniotic SAC using Ultrasound Guidance,Specialty
59072,Fetal Umbilical Cord Occlusion using Ultrasound Guidance,Specialty
59074,Ultrasound Guided Amniocentesis,Specialty
59076,Insertion of Drainage Catheter into Fetal Chest using Ultrasound Guidance,Specialty
58345,Fallopian Tube Recannalisation,Specialty
61645,Percutaneous Floroscopic Thromboembolectomy,Specialty
61650,Transcatheter Floroscopic Thromboembolectomy,Specialty
61651,Transcatheter Imaging Thromboembolectomy,Specialty
47531,Injection of Bile Duct for X-Ray Imaging Procedure Accessed through the Skin using Imaging Guidance Including Radiological Supervision and Interpretation,Specialty
47532,Injection of Bile Duct for X-Ray Imaging Procedure Accessed through the Skin using Imaging Guidance including Radiological Supervision and Interpretation,Specialty
47533,"Placement of Drainage Catheter of Biliary Duct, Accessed through the Skin with Imaging including Radiological Supervision and Interpretation",Specialty
47534,"Placement of Drainage Catheter of Biliary Duct, Accessed through the Skin with Imaging including Radiological Supervision and Interpretation",Specialty
47535,Conversion of External Biliary Drainage Catheter to Internal-External Biliary Drainage Catheter Accessed through the Skin using Imaging Guidance with Study of Bile Ducts and Radiological Supervision and Interpretation,Specialty
47536,Replacement of Liver Duct Drainage Catheter Accessed through the Skin with Imaging and Radiological Supervision and Interpretation,Specialty
47537,"Removal of Biliary Drainage Catheter, Accessed through the Skin using Imaging Guidance and Radiological Supervision and Interpretation",Specialty
47538,"Placement of Stent of Biliary Duct, Accessed through the Skin with Imaging including Radiological Supervision and Interpretation",Specialty
47539,"Placement of Stent of Biliary Duct, Accessed Through the Skin with Imaging including Radiological Supervision and Interpretation",Specialty
